"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"TRMT1",0.842207235789856,0.941563541109262,-0.0199968571464808,-0.203430717257305,0.0982981204416056,12,25.4018647732546,16.0000004982483,16,"TRMT1",0,0
"UBA2",0.0526126968919,0.246613857143422,-0.331356583781272,-2.15032543501899,0.154096016530794,12,24.0212824708414,16.000000111766,16,"UBA2",0,0
"CHORDC1",0.253791298378678,0.541364717830173,0.0832131929107227,1.19867364709852,0.0694210581104763,12,24.8276732095349,16.0000000002883,16,"CHORDC1",0,0
"AKAP8L",0.551812103298662,0.81616747347106,0.0683938021821575,0.612227068993029,0.111713130055895,12,25.422679832004,16.0000000017514,16,"AKAP8L",0,0
"LUC7L2",0.350982038544592,0.648098798446466,-0.0962382559623869,-0.970439324612089,0.0991697816871301,12,26.351585956362,16.0000000000003,16,"LUC7L2",0,0
"SCRIB",0.140741327137666,0.397367522967934,-0.298254576783197,-1.57716473906823,0.18910806803822,12,24.002664934775,16.0000000011136,16,"SCRIB",0,0
"TCEA1",0.168151913946764,0.435718745466993,0.189927828209491,1.46676515456843,0.129487551308358,12,23.7871254844717,14.9637424593969,15,"TCEA1",0,0
"HCFC1",0.0483100306664119,0.23574262618357,0.403639280170495,2.19799785555975,0.18363952410122,12,24.6466460212001,16.0000000003766,16,"HCFC1",0,0
"DCTN1;DKFZp686E0752",0.229400647930463,0.514917364283123,0.132929766300609,1.26640010523053,0.104966641862693,12,23.796678485408,16.0000003892288,16,"DCTN1;DKFZp686E0752",0,0
"LUC7L3",0.01576594202555,0.141201169978926,-0.319926404320213,-2.80943446101226,0.113875731489725,12,26.0766613852202,16.0000000000016,16,"LUC7L3",0,0
"AIP",0.838703869068534,0.941563541109262,0.0369858295198071,0.208017644785659,0.177801405058293,12,25.5880657529032,16.0000001163937,16,"AIP",0,0
"SNRNP200",0.00597635824470966,0.0959444380240643,0.333077326467063,3.33196171766386,0.0999643317332568,12,25.1485491879388,16.0000000000003,16,"SNRNP200",0,0
"EIF2S1",0.163715732438676,0.429526414689804,0.22237707758207,1.48353523410964,0.149896728078408,12,27.1447975722573,16.0000000202693,16,"EIF2S1",0,0
"CBR1",0.0160963163402631,0.141201169978926,-0.401585329485261,-2.79825290845187,0.143512878436509,12,26.483104703448,16.0000000003354,16,"CBR1",0,0
"RCC1",0.0981141265608901,0.330516877994151,-0.139033848234487,-1.79348887215272,0.0775214445950839,12,25.6526048145704,16.0000000000089,16,"RCC1",0,0
"EIF2AK2",0.731895616729716,0.935245637102952,-0.0435228356948336,-0.35069632120234,0.124104055456351,12,24.4187399098842,16.0000000006581,16,"EIF2AK2",0,0
